id_archivo;tipo;fecha;codigo_participante;duracion_segundos;codec;tamano_bytes;sha256;contenedor;ruta_en_contenedor;estado_archivo;estado_hash;ruta_detectada_relativa;repositorio;url_release
2026-05-23_AdministradorGeneral_ENTR-01_Entrevista.mp3;audio;2026-05-23;ENTR-01;1089.816;mp3;17437339;a0693a22fe0bc38cfd27215b8408a95c8b4095caa60c7e4d8fa691966561b1e1;evidencias_entrevistas_audios_01.7z;audios/2026-05-23_AdministradorGeneral_ENTR-01_Entrevista.mp3;RUTA;OK;audios/2026-05-23_AdministradorGeneral_ENTR-01_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-05-23_Administrador_ENTR-02_Entrevista.mp3;audio;2026-05-23;ENTR-02;1769.856;mp3;28317979;79ba84ddc33269d7e37e53a4154c888925873c43ddf3b431e3c8de4ac800d1da;evidencias_entrevistas_audios_01.7z;audios/2026-05-23_Administrador_ENTR-02_Entrevista.mp3;RUTA;OK;audios/2026-05-23_Administrador_ENTR-02_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-05-23_JefePolinizacion_ENTR-03_Entrevista.mp3;audio;2026-05-23;ENTR-03;313.944;mp3;5023387;2ad85cf8bc40439fc674a66ccb6ba7cc8c95e94a7cb7daca690aa5240e497aa4;evidencias_entrevistas_audios_01.7z;audios/2026-05-23_JefePolinizacion_ENTR-03_Entrevista.mp3;RUTA;OK;audios/2026-05-23_JefePolinizacion_ENTR-03_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-07-28_AsistenteAdministracion_ENTR-07_Entrevista.mp3;audio;2026-07-28;ENTR-07;332.825;mp3;10959117;3a0d48d8aa435e3938cb7ca24cf3e233bf5b164c4378ffab97f1321f51bce84a;evidencias_entrevistas_audios_01.7z;audios/2026-07-28_AsistenteAdministracion_ENTR-07_Entrevista.mp3;RUTA;OK;audios/2026-07-28_AsistenteAdministracion_ENTR-07_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-07-28_TecnicoExtractora_ENTR-04_Entrevista.mp3;audio;2026-07-28;ENTR-04;804.120;mp3;12866203;f79a3399214fd83328ba8b18400b8446850ad29798e752b7ed468be878ee7d87;evidencias_entrevistas_audios_01.7z;audios/2026-07-28_TecnicoExtractora_ENTR-04_Entrevista.mp3;RUTA;OK;audios/2026-07-28_TecnicoExtractora_ENTR-04_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-07-28_TecnicoExtractora_ENTR-08_Entrevista.mp3;audio;2026-07-28;ENTR-08;559.584;mp3;8953627;3d3f449417afd9638f58df0af36d2cb4a7ba9f278d9ce08c6f26ae3f16f8c7c0;evidencias_entrevistas_audios_01.7z;audios/2026-07-28_TecnicoExtractora_ENTR-08_Entrevista.mp3;RUTA;OK;audios/2026-07-28_TecnicoExtractora_ENTR-08_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-07-28_TrabajadorAgricola_ENTR-05_Entrevista.mp3;audio;2026-07-28;ENTR-05;318.576;mp3;5097499;961189b285f845c53de566a5b6b5d9055d86414d9ff1909561d9178903ed8ec4;evidencias_entrevistas_audios_01.7z;audios/2026-07-28_TrabajadorAgricola_ENTR-05_Entrevista.mp3;RUTA;OK;audios/2026-07-28_TrabajadorAgricola_ENTR-05_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-07-28_TrabajadorAgricola_ENTR-06_Entrevista.mp3;audio;2026-07-28;ENTR-06;154.080;mp3;2465563;1e9fabc0f30c71b2f84aa4de7417e4508415d9131ef706c60007ed17de4892a7;evidencias_entrevistas_audios_01.7z;audios/2026-07-28_TrabajadorAgricola_ENTR-06_Entrevista.mp3;RUTA;OK;audios/2026-07-28_TrabajadorAgricola_ENTR-06_Entrevista.mp3;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_audios_01.7z
2026-05-23_AdministradorGeneral_ENTR-01_Consentimiento_orig.jpeg;consentimiento;2026-05-23;ENTR-01;NO_APLICA;jpeg;237401;17ce5864fc5f7e8cb68ec6f816fea67013700d0dd8d361e03cd04acfb67587e0;evidencias_entrevistas_consentimientos_01.7z;consentimientos_firmados/2026-05-23_AdministradorGeneral_ENTR-01_Consentimiento_orig.jpeg;RUTA;OK;consentimientos_firmados/2026-05-23_AdministradorGeneral_ENTR-01_Consentimiento_orig.jpeg;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_consentimientos_01.7z
2026-05-23_Administrador_ENTR-02_Consentimiento_orig.jpg;consentimiento;2026-05-23;ENTR-02;NO_APLICA;jpeg;324793;043c9bf359e9ce5699c3ab6cbd32de571acd784152030d3da1b298101f798ecd;evidencias_entrevistas_consentimientos_01.7z;consentimientos_firmados/2026-05-23_Administrador_ENTR-02_Consentimiento_orig.jpg;RUTA;OK;consentimientos_firmados/2026-05-23_Administrador_ENTR-02_Consentimiento_orig.jpg;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_consentimientos_01.7z
2026-05-23_JefePolinizacion_ENTR-03_Consentimiento_orig.jpeg;consentimiento;2026-05-23;ENTR-03;NO_APLICA;jpeg;223682;2f5c6036a190c7b61a4ee29bd95959b63a66d3ddea18902f41e1b9b854d9cd1f;evidencias_entrevistas_consentimientos_01.7z;consentimientos_firmados/2026-05-23_JefePolinizacion_ENTR-03_Consentimiento_orig.jpeg;RUTA;OK;consentimientos_firmados/2026-05-23_JefePolinizacion_ENTR-03_Consentimiento_orig.jpeg;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_consentimientos_01.7z
2026-07-28_AsistenteAdministracion_ENTR-07_Consentimiento_orig.jpg;consentimiento;2026-07-28;ENTR-07;NO_APLICA;jpeg;252774;2dc695bd27e2b0fdc96ab8701935860f4edfd097ca190a97bb8717555b440231;evidencias_entrevistas_consentimientos_01.7z;consentimientos_firmados/2026-07-28_AsistenteAdministracion_ENTR-07_Consentimiento_orig.jpg;RUTA;OK;consentimientos_firmados/2026-07-28_AsistenteAdministracion_ENTR-07_Consentimiento_orig.jpg;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_consentimientos_01.7z
2026-07-28_TecnicoExtractora_ENTR-04_Consentimiento_orig.jpg;consentimiento;2026-07-28;ENTR-04;NO_APLICA;jpeg;364905;ec5fe6f141f791cdcfab0d347177bc3834fc272b4e174f7037457a4fea756304;evidencias_entrevistas_consentimientos_01.7z;consentimientos_firmados/2026-07-28_TecnicoExtractora_ENTR-04_Consentimiento_orig.jpg;RUTA;OK;consentimientos_firmados/2026-07-28_TecnicoExtractora_ENTR-04_Consentimiento_orig.jpg;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_consentimientos_01.7z
2026-07-28_TecnicoExtractora_ENTR-08_Consentimiento_orig.jpg;consentimiento;2026-07-28;ENTR-08;NO_APLICA;jpeg;362051;5cddb1fe42b829118b02b73fe30c440025ab3439ed49651a1511190800cab802;evidencias_entrevistas_consentimientos_01.7z;consentimientos_firmados/2026-07-28_TecnicoExtractora_ENTR-08_Consentimiento_orig.jpg;RUTA;OK;consentimientos_firmados/2026-07-28_TecnicoExtractora_ENTR-08_Consentimiento_orig.jpg;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias;https://github.com/erizzov-boop/SIMPA_ISR401_Evidencias/releases/download/v1.0-evidencias/evidencias_entrevistas_consentimientos_01.7z
