id_requisito;COM;AMB;VER;COR;CON;observaciones
R-001;4;4;3;4;4;"Requisito 1: La verificabilidad podría ser mayor si se especifica la métrica de 'eficiencia'."
R-002;5;5;4;5;5;""
R-003;4;3;3;4;4;"Requisito 3: Ambigüedad en 'procesamiento de datos' y baja verificabilidad."
R-004;5;5;5;5;5;""
R-005;4;4;4;4;4;""
R-006;5;5;5;5;5;""
R-007;4;4;4;4;4;""
R-008;3;3;3;3;3;"Requisito 8: Corrección respecto a la fuente tiene una omisión importante en el detalle técnico."
R-009;5;5;5;5;5;""
R-010;4;4;4;4;4;""
R-011;5;5;5;5;5;""
R-012;3;3;3;3;3;"Requisito 12: Ambigüedad en 'procesamiento avanzado'. Verificabilidad baja."
R-013;4;4;4;4;4;""
R-014;5;5;5;5;5;""
R-015;4;4;4;4;4;""
R-016;5;5;5;5;5;""
R-017;3;3;3;3;3;"Requisito 17: Verificabilidad baja, no se define cómo medir 'tiempo de respuesta'."
R-018;4;4;4;4;4;""
R-019;5;5;5;5;5;""
R-020;4;4;4;4;4;""
R-021;5;5;5;5;5;""
R-022;3;3;3;3;3;"Requisito 22: Falta definir claramente el alcance de 'análisis de riesgo'."
R-023;4;4;4;4;4;""
R-024;5;5;5;5;5;""
R-025;4;4;4;4;4;""
R-026;5;5;5;5;5;""
R-027;3;3;3;3;3;"Requisito 27: Corrección respecto a la fuente omite detalle crucial de interfaz."
R-028;4;4;4;4;4;""
R-029;5;5;5;5;5;""
R-030;4;4;4;4;4;""
R-031;5;5;5;5;5;""
R-032;3;3;3;3;3;"Requisito 32: Ambigüedad en 'parámetros de configuración'."
R-033;4;4;4;4;4;""
R-034;5;5;5;5;5;""
R-035;4;4;4;4;4;""
R-036;5;5;5;5;5;""
R-037;3;3;3;3;3;"Requisito 37: Completitud cuestionable, no detalla tipo de 'notificaciones'."
R-038;4;4;4;4;4;""
R-039;5;5;5;5;5;""
R-040;4;4;4;4;4;""
R-041;5;5;5;5;5;""
R-042;3;3;3;3;3;"Requisito 42: Verificabilidad baja, no se define cómo medir 'optimización'."
R-043;4;4;4;4;4;""
R-044;5;5;5;5;5;""
R-045;4;4;4;4;4;""
R-046;5;5;5;5;5;""
R-047;3;3;3;3;3;"Requisito 47: Corrección respecto a la fuente omite rol del supervisor."
R-048;4;4;4;4;4;""
R-049;5;5;5;5;5;""
R-050;4;4;4;4;4;""
