id_requisito;COM;AMB;VER;COR;CON;observaciones
R-001;5;5;4;5;5;""
R-002;4;5;5;4;4;""
R-003;4;4;4;4;4;""
R-004;5;5;5;5;5;""
R-005;4;4;4;4;4;""
R-006;5;5;5;5;5;""
R-007;4;4;4;4;4;""
R-008;5;5;5;5;5;""
R-009;4;4;4;4;4;""
R-010;5;5;5;5;5;""
R-011;4;4;4;4;4;""
R-012;5;5;5;5;5;""
R-013;4;4;4;4;4;""
R-014;5;5;5;5;5;""
R-015;4;4;4;4;4;""
R-016;5;5;5;5;5;""
R-017;4;4;4;4;4;""
R-018;5;5;5;5;5;""
R-019;4;4;4;4;4;""
R-020;5;5;5;5;5;""
R-021;4;4;4;4;4;""
R-022;5;5;5;5;5;""
R-023;4;4;4;4;4;""
R-024;5;5;5;5;5;""
R-025;4;4;4;4;4;""
R-026;5;5;5;5;5;""
R-027;4;4;4;4;4;""
R-028;5;5;5;5;5;""
R-029;4;4;4;4;4;""
R-030;5;5;5;5;5;""
R-031;4;4;4;4;4;""
R-032;5;5;5;5;5;""
R-033;4;4;4;4;4;""
R-034;5;5;5;5;5;""
R-035;4;4;4;4;4;""
R-036;5;5;5;5;5;""
R-037;4;4;4;4;4;""
R-038;5;5;5;5;5;""
R-039;4;4;4;4;4;""
R-040;5;5;5;5;5;""
R-041;4;4;4;4;4;""
R-042;5;5;5;5;5;""
R-043;4;4;4;4;4;""
R-044;5;5;5;5;5;""
R-045;4;4;4;4;4;""
R-046;5;5;5;5;5;""
R-047;4;4;4;4;4;""
R-048;5;5;5;5;5;""
R-049;4;4;4;4;4;""
R-050;5;5;5;5;5;""
